"","cs_dep2023","2040","2060","2080","2100","fs_dep2023","2040","2060","2080","2100","cs_ndep2023","2040","2060","2080","2100","fs_ndep2023","2040","2060","2080","2100","ns_dep2023","2040","2060","2080","2100","ns_ndep2023","2040","2060","2080","2100"
"32",56551.6709947679,45149.9936533973,48053.6690181972,49922.540116838,51646.4928541601,18653.3303521282,17594.7375704268,18704.8828345305,19416.3556572503,20074.9023312342,236599.621318011,102239.647573618,108276.753519719,112086.942722104,115658.007917249,134645.148010746,72643.5422986599,76907.7940760734,79595.1357935604,82116.7117385724,129400.795529834,239714.966681572,254789.810206301,264442.199685471,273380.303714315,1340651.73658547,1455338.95382202,1540667.80381207,1594420.92990827,1644865.09146899
"33",57084.2327825102,42903.5370306831,45701.8764164255,47394.1711173178,49204.2194369972,19834.2581705722,18102.4481069464,19259.3493726224,19954.7794079581,20703.5965734039,247065.941683544,99398.5967788525,105315.361357254,108794.900248656,112635.37378961,148110.457219228,77019.7230923771,81575.446830225,84248.9322637489,87206.5533170699,123805.866900704,236780.83823064,251850.374997013,260896.107984541,270648.736507493,1318050.29135885,1456610.23425785,1542555.62258965,1592945.7952568,1648738.38399309
"34",57273.8972990171,40862.8872853313,43541.8158115616,45093.9869730846,46980.1680089351,21027.5615263009,18632.0133574947,19827.0748895207,20514.2396055935,21357.5720292509,255757.974407657,96455.099659146,102184.695574408,105388.056826121,109467.249456137,162026.207933175,81289.62352503,86085.4157729357,88759.392844643,92176.2971783097,118826.772785137,234679.159260632,249657.503946678,258253.230548362,268825.998434491,1295926.14592347,1457140.05125289,1542771.23220247,1590437.27828023,1651466.12963469
"35",58572.5047896142,38973.2897514932,41537.1144963551,42978.5640563833,44929.401125568,22716.0262128353,19171.625368021,20403.5262389773,21089.8791205277,22030.8674540454,261144.442753905,93366.1019072472,98887.9117350142,101861.946838159,106143.210597198,175673.19454685,85380.8347352764,90393.0433819355,93083.6383347276,96974.8257273471,117222.031208052,233045.396690071,247935.984534522,256211.667953494,267594.120484657,1272417.28734258,1455968.12960449,1540969.69117296,1586480.8159337,1652529.79008815
"36",58578.1361838229,36787.5032523089,39207.1486379206,40550.0906281401,42530.3013609102,25220.9750702133,20282.2653538452,21583.6022694917,22298.7000537044,23369.4549268649,260523.211071076,89217.0769081622,94446.753205515,97211.7570472744,101607.617286831,193023.431878355,90776.0192516149,96053.2255765389,98832.4659254885,103276.832757565,115594.790338722,231471.636213845,246227.336340146,254312.009976158,266468.104417348,1252013.96416263,1454120.58527565,1538047.70789125,1582092.29657043,1652890.25498364
"37",58195.9887410954,34647.2474805587,36917.1181853646,38190.4019194742,40183.6209877795,27618.6440567697,21252.7668137682,22608.9034987348,23361.9441831492,24561.106796368,259696.809487227,85146.3312410974,90065.533166215,92687.9948110441,97163.2877016573,211481.10229036,96057.438612155,101556.087239378,104475.093355578,109490.689698393,113000.882488887,229449.203478887,243987.279479098,252035.530984378,264912.621731568,1231274.26696019,1452345.60212867,1534720.17680855,1578261.02132061,1653596.27048819
"38",57727.7439456213,32165.8095449787,34717.9528716036,35953.6290008162,37947.6343593584,30017.7984097591,21786.4402403514,23521.1983760324,24328.8472642285,25655.8628902296,258736.803228511,80725.9624232539,85712.0980666599,88264.5626201376,92786.0638892984,230855.91548555,100608.348437368,106804.396975093,109941.208470845,115539.857516887,110297.000710298,226543.084072935,241818.481261486,250039.193106734,263614.262836076,1209124.4950921,1452360.53294483,1530050.99090242,1574290.63442789,1653930.34856793
"39",57299.6737025927,29694.1144326368,32612.3470080077,33840.8649031058,35825.883081255,32405.9503813232,22095.6164338504,24321.464784785,25205.1566668649,26659.0173733651,258141.059981565,76324.4879495785,81413.3811911398,83967.3579972727,88506.9520436206,250977.576921865,104722.818031931,111740.766039013,115196.068969584,121385.808554791,107591.423671952,223452.656201683,239611.815957101,248231.560401428,262483.559211278,1186772.10115031,1452685.34430037,1523921.10175035,1570207.77189603,1653942.1466955
"40",56667.1091188149,27153.2151087145,30603.587750838,31850.9277340592,33818.9349555702,34581.703849953,22092.0730920687,25006.4416963002,25989.9239865711,27568.6477447845,257124.550254183,71900.9515875731,77208.5235354496,79826.9809154202,84360.9036132297,270553.292077735,108231.18246593,116320.562148855,120208.554114503,126992.429175787,104758.976045833,219617.48425251,237253.020152577,246495.097234091,261399.421071899,1164443.80094109,1453441.9046852,1516385.14397919,1566081.14144643,1653706.85537041
"41",55797.7178894682,26659.682641137,28698.4539771952,29986.9820488536,31883.9007436423,36418.8846323661,23625.7177227754,25575.2752087691,26684.3603279579,28342.5059113297,255261.997475341,73509.7252945004,73125.295346012,75863.6338356989,80251.3299863395,288257.2924619,121018.287774596,120487.005198036,124934.546821526,132110.933839513,102135.751528578,211803.387887906,234722.881621288,244810.980924898,259953.029111393,1144537.38948109,1439865.48687534,1507287.12472445,1561770.53355004,1650597.52548179
"42",54537.6891133614,25851.6325006686,26897.8499776104,28242.6206600258,30068.0498372466,37683.2591955284,24842.3742230843,26019.7011439944,27277.6142767707,29007.9045967127,252128.77012884,75280.4916951944,69214.2859580972,72111.3694901043,76346.8335941352,302476.432954411,134997.054143005,124228.660875494,129356.074051199,136898.141594957,99703.7552573245,200652.160540467,231872.811046963,242991.248094958,258334.014932121,1129007.67560706,1427375.50769067,1496998.20399951,1557447.62154622,1647231.20430775
"43",52848.7438914789,25386.8411758444,25210.5061710507,26620.1306698387,28374.0957588894,38237.9580985132,26316.7414437351,26356.5774540008,27781.6202610532,29574.9049212074,247310.497404327,78570.6557747216,65499.2298701649,68576.2695540364,72652.6800018353,311553.417596342,152664.115788632,127548.890702051,133455.592895009,141322.904121016,97783.9367322784,184164.635938127,228860.659418935,241143.403511524,256638.640918713,1119748.47012157,1415279.18088432,1485810.67328563,1553080.47568391,1643461.63662665
"44",50798.3500551582,24023.3435876053,23261.1946595607,25118.6301588313,26801.5902151747,38067.8762546251,26717.4766976066,26181.3560435273,28213.6356670101,30059.2380853527,240801.414149162,82695.4415200475,60992.2324902955,65250.4107720265,69159.9655507803,314604.922560998,173078.215906648,128367.743726559,137221.222651148,145359.113426632,96688.1906342952,164868.59762146,222245.390101176,239404.875087561,254994.809224842,1118369.29693229,1407239.17002243,1450293.14047677,1548564.76154367,1639062.29130355
"45",48629.7703542714,22611.9903865876,21959.0336665713,23745.87461875,25357.5970165313,37396.8328720941,26921.1759620709,26521.7607663925,28607.0288078334,30492.7229776535,233346.338065756,86900.1906709009,58038.9771742248,62118.4875987462,65849.1196638971,312674.142920577,195225.82597875,131542.030497364,140643.453870751,148978.013503346,96373.0035400805,146911.098123111,220820.423528404,238086.058802573,253705.595620918,1121431.95502804,1396025.0189845,1445671.71371692,1543705.3251184,1633662.72583492
"46",46533.0827453056,22126.5623072734,20749.9526632647,22485.2131961523,24025.4755671008,36438.8717264338,27654.1153762463,26812.689028583,28961.9584056797,30874.264942775,226004.724507765,91964.7318589053,55233.4027927635,59173.5131968316,62714.4168919667,307729.980395026,216312.164181933,134353.879446997,143741.951359284,152190.925711722,96380.0838852731,134588.026352236,219554.16791796,237048.242898275,252618.988693228,1125454.17991162,1376032.8390808,1440239.32024079,1538621.42661618,1627335.25900201
"47",44737.3875720868,22260.5853681087,19617.8607418944,21318.2085516947,22787.3876943921,35457.522320639,29167.181443949,27050.2143496509,29275.0388138887,31200.2413542917,219925.893509466,96626.8220154629,52568.211230754,56404.2915593288,59748.1350100202,302062.674781478,237565.823468917,136823.778513985,146541.927244096,155021.941815885,96409.0059087129,127125.391519019,218292.665032426,236128.471520225,251565.89221045,1128174.77764044,1348896.67887194,1434114.06035524,1533425.96111754,1620214.31065148
"48",43226.2362915682,22459.7099998702,18541.5728189606,20220.4945649674,21620.175544723,34522.0652740763,30800.0847968302,27217.9800655782,29528.7322412115,31453.9791688234,215838.239329515,100008.764015322,50038.7509425806,53801.4214538774,56946.6457598198,297411.045492198,256595.925016187,138988.097289736,149081.159935687,157516.808754664,95699.2792989189,122142.9959662,216749.359862796,235016.535526049,250236.001376104,1126053.01158636,1321159.87484217,1427547.51430992,1528338.20175085,1612621.98795197
"49",42216.892217663,22469.7758701322,17510.0837455333,19177.0840159848,20510.6603214027,33887.8059028746,32207.2563328877,27313.6286818571,29718.3274248968,31633.8236069516,214669.676845618,103143.552027552,47634.2225722471,51345.8778893322,54297.1196270043,295713.274617666,275723.218710607,140873.12679285,151377.067411661,159708.050210851,94254.0291422141,116662.768008424,214831.794471731,233592.780636246,248531.656713232,1118514.5914083,1293646.70359982,1420615.99290674,1523303.99825627,1604668.03694011
"50",41415.6547312621,22254.3630957949,16518.041686216,18175.6883810193,19448.8464265291,33402.1746787095,33336.863689897,27345.4803768825,29843.7083874271,31744.1213885048,215678.085087969,105810.128856776,45360.1938776584,49026.2808765911,51795.1328638233,296535.659405581,294524.262313754,142568.8552923,153479.221321405,161667.655146893,91787.8815817754,110841.274857296,212561.543115818,231807.565462216,246435.671622898,1104681.78678604,1266825.94089991,1413922.81925783,1518492.58830101,1596735.9717092
"51",40819.3682470046,21817.7298964091,15573.2359725211,17217.9658156345,18439.779375803,33123.1965059214,34183.2694453381,27334.1508663039,29915.1444716065,31801.6687325002,218323.566935275,107763.393864585,43184.9683020162,46791.0056107158,49395.8588420759,299730.783479028,312485.808444557,144085.306551118,155337.83388482,163374.31314444,88753.9700622348,104990.394608543,210093.453445288,229734.394725642,244070.77553748,1086311.55160905,1241120.49586825,1407397.10108652,1513240.5305157,1588428.07862418
"52",40313.5556521183,21532.2406774714,14656.7296951258,16298.2511964785,17479.4676588582,33042.499220177,35359.2888932165,27273.0619299698,29951.3286601909,31831.2792536967,221846.65208788,108588.706397296,41046.3141401492,44614.9366700139,47079.278519261,304858.803316368,328561.340445144,145283.305709202,156939.650953452,164841.752240324,85447.6654527729,101239.838567492,207410.228810219,227552.131450527,241661.040715377,1064010.99392392,1214781.89889909,1399441.16336771,1507177.42988424,1579605.18115524
"53",39767.7506439894,21028.2685592107,13771.8277553131,15410.4753834628,16563.5447099324,33120.1775351753,36277.9794545294,27186.8628933039,29963.4017586585,31850.9338803808,225389.328764227,108307.250240419,38948.3137164004,42477.1761921844,44830.1411195202,311362.851095289,342187.905782952,146221.553227178,158268.170748477,166087.362017622,82052.3986072886,97985.4673827318,204721.751587961,225365.866636587,239359.837582966,1038116.41124937,1191395.4401482,1390462.98933063,1499959.39656596,1570211.49162662
"54",39034.9441511447,20475.4904046329,12917.2445858086,14545.811698639,15682.7724196112,33281.2779540757,37198.2313357559,27085.5193350782,29947.5852865278,31860.2347668197,228526.067896845,107838.437305915,36900.1107584097,40367.3521277179,42638.6550521257,319197.595704084,355975.457773623,146975.267946744,159324.999984302,167132.672949767,78559.3641777128,94753.3432246503,202076.230803625,223119.891454139,237131.045646443,1010389.43450667,1166569.68460924,1381054.85224866,1491487.42360658,1560296.60495511
"55",38156.0522931254,19896.5808701011,12083.4008003094,13700.2375566449,14830.4240736839,33563.815091346,38151.2314047979,26959.4743523847,29906.1105086633,31860.1872819429,231020.323584451,107242.93413331,34882.3768191493,38283.1625653126,40496.6311568682,328245.859918151,370014.164597288,147503.837786802,160132.026615594,167995.028002296,75082.6541551292,91568.3549216896,199391.269165741,220820.506608411,234967.029773785,980519.349989356,1140093.32578807,1370727.87749206,1481873.12834244,1549892.99911203
"56",37105.0888118128,19345.7043172925,11273.4327930523,12875.0461999093,14006.911542572,33945.6646302912,39223.5024660555,26825.8907488357,29853.9681549596,31868.4590296649,232659.974794244,106647.087194085,32890.0184217438,36214.5299701565,38392.3928048149,338310.892666466,384366.490165537,147807.144779546,160670.73838937,168668.230398407,71657.1140059556,88730.0155734247,196856.925787977,218643.440694776,233059.599269755,948012.607806421,1112925.96710233,1359418.62252598,1470875.46781724,1538835.47608305
"57",36021.9038755776,18707.5524555272,10477.9777520886,12059.2823183629,13201.1110608248,34535.1841495532,40141.6198331217,26659.7296575593,29763.2878242936,31861.6810099294,233792.477939536,105688.592285056,30922.1646081868,34158.8389912204,36325.1038485837,350020.551735991,397429.080497427,147882.5339448,160930.242525216,169170.697210978,68414.4517206783,85944.0494048375,194231.513026046,216321.337987899,231166.066627651,914369.369732381,1085525.38243614,1347136.97461066,1458431.39419111,1527289.89451496
"58",34692.5907461031,17939.0232739864,9551.4128131345,11245.8602384908,12405.6561236281,35130.7457192742,40749.4594003454,26030.8388570188,29614.00815722,31824.6887764001,234114.709174113,104150.494648063,28876.6117326573,32113.2746134492,34292.9043442624,362995.903113855,407863.212668345,147037.484246408,160891.938521983,169513.39522304,64947.6579011068,83310.2086171329,190476.743781195,213675.258364488,229137.285821359,878743.989646427,1060273.44846124,1336710.63140348,1444380.84796562,1515326.75818248
"59",32976.3987408378,16989.1781993641,8616.94545377408,10431.5892234592,11615.8020969526,35577.2057625681,40850.0937803965,25236.8908831143,29392.5439630434,31746.4589028809,233172.357956833,101800.511592017,26852.2895307883,30077.849702343,32293.3044856515,376593.160429596,414042.412207309,145792.157505772,160539.3848269,169697.024374908,61096.5300471998,80864.2327390551,186233.947845479,210598.847710851,226880.365021844,840573.926399792,1038863.77478057,1326364.27775296,1428594.30177058,1502933.25001018
"60",31113.0268439149,15841.4233363215,7656.0975554309,9616.98845569053,10829.3845005343,36070.798156739,40303.0472459763,24191.2881187193,29092.5008769719,31620.397932206,231346.211468864,98471.993434026,24839.7917657441,28056.1077185969,30324.193287414,391442.549807022,414452.626927469,144016.633733295,159865.216470806,169716.330843564,57460.3868163126,78732.5215508742,181114.239500679,207057.601830875,224355.383263995,804410.599375916,1023025.27770395,1316339.30891076,1411031.83051804,1490054.95310988
"61",28843.0064903344,14496.644776037,7244.23279313895,8799.01057895005,10040.381383855,36284.2899120643,39005.1145353952,24831.7412753049,28687.6488920565,31418.995088156,227549.35839706,94223.9272451769,24897.2830273441,26055.2127690872,28387.2225498376,405621.079876306,408636.432792609,154451.884537899,158868.553372764,169572.271120012,53780.2478603362,76818.1544057864,172317.499835179,202818.76815854,221314.959090758,770133.67236966,1014372.76763289,1294051.13594671,1391750.5059505,1476738.24950592
"62",26069.8617443786,13022.3473451169,6710.28791624022,7982.45174275024,9249.5135505692,35989.8203655367,37106.8662389334,25093.8968152267,28176.5710223996,31135.3359737255,221254.860659619,89427.6123677304,24977.2542193334,24085.372071805,26483.4824889874,417742.241987954,398253.112525869,165918.081869697,157566.545044065,169259.027229014,50057.8589572926,74804.5989219231,160688.303775021,197891.902724436,217726.804556025,739193.788204551,1009944.99844134,1274547.23786221,1370941.16569574,1462952.36339582
"63",23062.7392396643,11518.1926043256,6226.94892410936,7176.53150620551,8461.96976097352,35369.4825426008,34896.5614439127,25563.7000589145,27574.8628889961,30777.6873866995,212536.384025022,84509.3719730833,25484.9454518333,22156.3385749062,24612.9742126484,427366.505225417,385640.647661853,181400.219470734,155978.555115784,168759.872323264,46789.2895068845,72536.499022773,144918.809415004,192449.696994079,213712.959582778,714174.98596684,1006275.23965315,1258691.70388345,1348792.14381724,1448562.47880002
"64",19847.1742862962,10095.9529397849,5521.16607578381,6293.26035699543,7688.54477550788,34168.2322565515,32676.7679625103,24981.1808506094,26461.465771403,30349.3729317904,201198.690740729,79927.473916884,26367.6494272531,19961.7670055175,22785.7610319144,432714.676081863,373306.692393041,200164.893961908,151641.283644477,168048.334387938,43785.2526787522,69974.8285745067,127183.404485393,183614.295135394,209344.24378382,694778.592087643,1000950.53942673,1249207.31043488,1304128.68850238,1433355.21364978
"65",16694.0032992687,8795.59061060965,4817.64017542863,5589.10730393234,6937.21274862893,32666.6241575129,30618.6393821028,24194.9287120171,25872.4792974109,29869.0223938348,189605.365872305,76565.6562464314,27510.8841984384,18582.0702314579,21323.6675844001,437820.764772128,365589.33367207,222373.157097592,152153.882755823,169028.844709503,41284.1282547669,67009.260756543,110664.033199709,178658.702841567,204831.692486375,685427.062997559,996114.24116849,1245635.59048747,1299136.18529466,1430261.13465138
